id,name,description
prevention_financial_crime,Prevention of Financial Crime,Detection and prevention of money laundering fraud and terrorist financing
risk_management,Risk Management,Identification assessment and mitigation of business and operational risks
customer_due_diligence,Customer Due Diligence,Know Your Customer verification and ongoing monitoring
regulatory_reporting,Regulatory Reporting,Mandatory reporting to regulators and supervisory authorities
tax_compliance,Tax Compliance,Compliance with tax laws and reporting obligations
audit_assurance,Audit and Assurance,Internal and external audit activities
hr_employee_management,HR and Employee Management,Human resources processes including recruitment payroll and benefits
marketing_communications,Marketing and Communications,Marketing campaigns customer communications and promotions
product_service_delivery,Product and Service Delivery,Delivery of banking and financial products and services
credit_risk_assessment,Credit Risk Assessment,Assessment of creditworthiness and lending decisions
fraud_detection_prevention,Fraud Detection and Prevention,Detection and prevention of fraudulent activities
legal_compliance,Legal and Compliance,Legal advisory compliance monitoring and enforcement
it_security,Information Technology and Security,IT systems management cybersecurity and data protection
business_continuity,Business Continuity and Disaster Recovery,Business continuity planning and disaster recovery operations
research_analytics,Research and Analytics,Data analytics research and business intelligence
